character_key,display_name,name_suffix,affiliation_id,affiliation_name,reason,known_character_id,whois_checked,evidence_kind,source_id,source_name,source_url,source_date_context,notes
Aaven,Aaven,,arda_s_army,Arda's Army,not_in_characters,,,listed_member,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
Aldar,Aldar,,the_brotherhood_of_the_squirrel,The Brotherhood of the Squirrel,not_in_characters,,,listed_contact,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
Alohran,Alohran,,friends_to_the_death,Friends to the Death,not_in_characters,,,founder,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
Amelo,Amelo,,the_brotherhood_of_the_squirrel,The Brotherhood of the Squirrel,not_in_characters,,,listed_contact,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
Berat,Berat,,arda_s_army,Arda's Army,not_in_characters,,,listed_member,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
Darien,Darien,,arda_s_army,Arda's Army,not_in_characters,,,listed_member,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
Dòne,Dòne Bloodshed,Bloodshed,durin_s_army,Durin's Army,not_in_characters,,,listed_member,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
Ethoe,Ethoe,,carrock_of_anduin,Carrock of Anduin,not_in_characters,,,listed_contact,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
Euronymous,Euronymous,,arda_s_army,Arda's Army,not_in_characters,,,listed_member,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
Fathra,Fathra,,scouts_of_rivendell,Scouts of Rivendell,not_in_characters,,,listed_contact,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
